Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1983,Fearless Hyena 2,14.135,54,not_good,Action
2006,Everyone's Hero,14.135,220,not_good,Adventure
2006,Everyone's Hero,14.135,220,not_good,Animation
2006,Everyone's Hero,14.135,220,not_good,Comedy
2006,Everyone's Hero,14.135,220,not_good,Family
2017,Mark Felt: The Man Who Brought Down the White House,14.133,406,below_avg,Drama
2017,Mark Felt: The Man Who Brought Down the White House,14.133,406,below_avg,History
2017,Mark Felt: The Man Who Brought Down the White House,14.133,406,below_avg,Thriller
2019,The Golden Glove,14.132,301,avg,Drama
2019,The Golden Glove,14.132,301,avg,Thriller
2019,The Golden Glove,14.132,301,avg,Crime
2019,The Golden Glove,14.132,301,avg,Horror
1992,Boomerang,14.132,441,not_good,Comedy
1992,Boomerang,14.132,441,not_good,Romance
1996,Hellraiser: Bloodline,14.132,363,not_good,Horror
1996,Hellraiser: Bloodline,14.132,363,not_good,Science Fiction
2021,The Survivalist,14.131,10,not_good,Thriller
2021,The Survivalist,14.131,10,not_good,Mystery
2021,The Survivalist,14.131,10,not_good,Action
2004,Paparazzi,14.131,142,not_good,Action
2004,Paparazzi,14.131,142,not_good,Drama
2004,Paparazzi,14.131,142,not_good,Thriller
1991,Fight Back to School,14.13,68,avg,Action
1991,Fight Back to School,14.13,68,avg,Comedy
2007,Code Name: The Cleaner,14.128,188,not_good,Action
2007,Code Name: The Cleaner,14.128,188,not_good,Comedy
2007,Code Name: The Cleaner,14.128,188,not_good,Crime
2020,A Secret Love,14.125,95,good,Documentary
2020,An American Pickle,14.124,290,not_good,Comedy
2020,An American Pickle,14.124,290,not_good,Drama
1977,Airport '77,14.124,205,not_good,Action
1977,Airport '77,14.124,205,not_good,Adventure
1977,Airport '77,14.124,205,not_good,Drama
1977,Airport '77,14.124,205,not_good,Thriller
2018,Like Father,14.122,550,below_avg,Comedy
2018,Like Father,14.122,550,below_avg,Drama
2015,The Ark,14.122,9,below_avg,Drama
2015,The Ark,14.122,9,below_avg,TV Movie
2012,Freelancers,14.122,164,not_good,Mystery
2012,Freelancers,14.122,164,not_good,Drama
2012,Freelancers,14.122,164,not_good,Action
2012,Freelancers,14.122,164,not_good,Crime
2011,Albert Nobbs,14.122,373,below_avg,Drama
2020,The Old Ways,14.12,224,good,Horror
2020,The Old Ways,14.12,224,good,Fantasy
2020,Horse Girl,14.12,416,not_good,Drama
2019,Vita & Virginia,14.12,133,avg,Drama
2019,Vita & Virginia,14.12,133,avg,Romance
1969,The Undefeated,14.119,79,below_avg,Western
2006,"OSS 117: Cairo, Nest of Spies",14.119,1331,good,Crime
2006,"OSS 117: Cairo, Nest of Spies",14.119,1331,good,Action
2006,"OSS 117: Cairo, Nest of Spies",14.119,1331,good,Adventure
2006,"OSS 117: Cairo, Nest of Spies",14.119,1331,good,Comedy
1997,Fire Down Below,14.118,270,not_good,Action
1997,Fire Down Below,14.118,270,not_good,Thriller
2019,#AnneFrank. Parallel Stories,14.116,35,avg,Documentary
2019,#AnneFrank. Parallel Stories,14.116,35,avg,Drama
2019,#AnneFrank. Parallel Stories,14.116,35,avg,History
2020,Angels Fallen,14.115,49,not_good,Horror
2020,Angels Fallen,14.115,49,not_good,Fantasy
2020,Angels Fallen,14.115,49,not_good,Science Fiction
2006,We Are Marshall,14.108,522,avg,Drama
2006,We Are Marshall,14.108,522,avg,History
2020,Unknown Origins,14.107,316,below_avg,Drama
2020,Unknown Origins,14.107,316,below_avg,Thriller
2016,Get a Job,14.107,520,not_good,Comedy
2006,A Good Year,14.107,1191,avg,Comedy
2006,A Good Year,14.107,1191,avg,Drama
2006,A Good Year,14.107,1191,avg,Romance
1991,Naked Lunch,14.107,749,avg,Crime
1991,Naked Lunch,14.107,749,avg,Drama
1973,Charlotte's Web,14.106,290,avg,Family
1973,Charlotte's Web,14.106,290,avg,Music
1973,Charlotte's Web,14.106,290,avg,Animation
1973,Charlotte's Web,14.106,290,avg,Drama
1973,Charlotte's Web,14.106,290,avg,Comedy
2001,See Spot Run,14.105,168,not_good,Family
2001,See Spot Run,14.105,168,not_good,Comedy
2001,See Spot Run,14.105,168,not_good,Action
2001,See Spot Run,14.105,168,not_good,Crime
1965,Repulsion,14.105,730,good,Drama
1965,Repulsion,14.105,730,good,Thriller
1965,Repulsion,14.105,730,good,Horror
2017,Midnight Runners,14.104,141,good,Comedy
2017,Midnight Runners,14.104,141,good,Action
2017,Midnight Runners,14.104,141,good,Mystery
2003,Good Bye Lenin!,14.104,1893,good,Comedy
2003,Good Bye Lenin!,14.104,1893,good,Drama
2020,Double World,14.101,163,avg,Action
2020,Double World,14.101,163,avg,Adventure
2020,Double World,14.101,163,avg,Fantasy
2010,Cemetery Junction,14.101,192,below_avg,Drama
2010,Cemetery Junction,14.101,192,below_avg,Comedy
1986,Jumpin' Jack Flash,14.101,259,below_avg,Romance
1986,Jumpin' Jack Flash,14.101,259,below_avg,Comedy
1986,Jumpin' Jack Flash,14.101,259,below_avg,Thriller
1986,Matador,14.101,159,avg,Drama
1986,Matador,14.101,159,avg,Thriller
1983,Yentl,14.1,161,below_avg,Music
1983,Yentl,14.1,161,below_avg,Drama
1983,Yentl,14.1,161,below_avg,Romance
2018,Champions,14.099,586,good,Drama
2018,Champions,14.099,586,good,Comedy
2016,The Crew,14.099,274,below_avg,Drama
2016,The Crew,14.099,274,below_avg,Crime
2016,The Crew,14.099,274,below_avg,Thriller
2011,Samsara,14.099,456,good,Documentary
1994,Quiz Show,14.099,685,good,Drama
1994,Quiz Show,14.099,685,good,History
1999,Forces of Nature,14.099,426,not_good,Romance
1999,Forces of Nature,14.099,426,not_good,Comedy
2019,Stockholm,14.098,280,not_good,Crime
2019,Stockholm,14.098,280,not_good,Comedy
1935,Mutiny on the Bounty,14.098,224,good,Adventure
1935,Mutiny on the Bounty,14.098,224,good,Drama
1935,Mutiny on the Bounty,14.098,224,good,History
1963,The Executioner,14.098,106,good,Comedy
